;Delta;Theta;Low Alpha;High Alpha;Low Beta;High Beta;Low Gamma;Middle Gamma
1052;1087504;197799;2090;41322;4686;9613;4291;10817
1053;661062;72255;10712;8905;12008;14143;2581;12991
1054;943086;70260;5104;27481;5238;15828;3822;6257
1055;94364;8016;5504;5406;5423;2063;694;1741
1056;235609;46242;1843;2307;1920;1914;1374;2120
1057;715893;82874;20643;14118;19555;19039;4147;12538
1058;779748;46878;19935;6818;15511;22044;4913;12471
1059;1007167;67210;18642;3993;6046;6193;4182;11985
1060;1007167;67210;18642;3993;6046;6193;4182;11985
1061;176216;13118;1065;2149;1449;2389;2522;2794
1062;980304;1130121;77420;256330;72281;54714;29674;39718
1063;302157;19690;7989;8327;5178;8438;7852;8251
1064;98347;86517;23987;5635;10901;8105;6417;7732
1065;513825;194419;13016;65346;20699;24493;23208;23465
1066;3458751;282410;333604;43206;65839;119359;42642;133235
1067;3458751;282410;333604;43206;65839;119359;42642;133235
1068;1556518;119316;25010;6903;22827;34547;6009;71990
1069;319770;30029;8722;6136;6514;3894;2662;15238
1070;1126089;107806;34655;15119;19810;7667;10742;46028
1071;698448;106062;19891;9574;2995;10248;2695;37582
1072;3191324;351969;126288;11231;33565;22866;26138;177611
1073;1521222;105108;21006;18676;5904;16391;6588;45851
1074;1167445;44713;13339;2639;43007;10445;6220;35815
1075;988468;1266030;199483;522279;165110;125526;110594;443145
1076;2390256;298930;24882;21036;40611;34212;14703;75160
1077;1322966;235339;43121;73663;31735;28437;21766;39450
1078;135476;25329;6137;14317;3594;11300;5474;13746
1079;850086;29002;4258;7157;3826;2585;4302;20777
1080;1893995;125729;14995;60130;57725;30429;17479;47179
1081;635086;144817;37058;32039;47689;25579;16143;52330
1082;489122;26772;61491;14043;14142;41004;9887;42076
1083;1423556;63223;34736;40002;88687;44794;17069;79336
1084;137030;58557;5352;3520;7910;5879;2807;16618
1085;1021406;10453;4630;2945;12660;4696;1224;15206
1086;2428510;106463;6066;17322;59307;33030;33170;44798
1087;2428510;106463;6066;17322;59307;33030;33170;44798
1088;755361;214137;4703;6589;10441;15900;13106;9484
1089;440562;44423;18119;24813;8307;7703;3592;12698
1090;1087215;243941;50633;58708;34302;31397;15391;44117
1091;1700403;139305;19068;10573;36740;20161;27220;43097
1092;135009;28455;1973;3895;1981;1492;1425;2617
1093;1028778;152570;74196;17902;26173;60668;36808;49844
1094;606721;68447;80655;29463;21139;26327;22247;38302
1095;443353;28962;12649;43660;11756;8419;8711;39843
1096;2427392;133988;63642;22210;37506;50975;25355;41235
1097;223105;11880;1570;18710;7407;4814;6363;11944
1098;604613;176677;25604;7902;16798;12041;4407;14218
1099;1440177;193570;56704;27687;19360;38003;21505;19452
1100;89851;12248;13746;4034;6653;4270;2562;11527
1101;724055;344636;38297;56938;7208;7358;12442;15666
1102;1073079;151292;12419;7291;8218;12954;18244;29606
1103;2621283;184549;11497;39025;46595;20625;34497;72044
1104;2399047;66639;17207;16407;21578;34729;12312;87555
1105;597137;91682;27766;25532;19916;31661;18682;77301
1106;1552423;28091;1655;9788;11546;3239;5264;23354
1107;1552423;28091;1655;9788;11546;3239;5264;23354
1108;144598;38034;7549;32341;30879;42681;10362;107747
1109;1439982;222069;4490;53276;74912;20823;8913;117992
1110;869482;57163;9663;2537;8748;7279;2994;19688
1111;386894;49153;7310;6661;8973;4172;3206;19983
1112;1295487;69306;14611;7262;10008;6865;2002;16887
1113;103619;25774;600;3238;4428;2499;307;4675
1114;569802;262154;213798;97004;16607;33381;24194;94459
1115;527668;209780;33971;27061;16271;25089;18835;70274
1116;632354;83446;37567;121307;27465;25407;9106;98909
1117;516119;46481;15980;7668;8832;9889;4714;25527
1118;752066;52083;38175;14568;12332;18228;13631;52255
1119;767225;129654;77748;16503;60113;34129;13030;57209
1120;809271;174152;21053;65211;7449;37205;26484;62305
1121;578909;58172;9227;6107;14470;8520;4466;14429
1122;454539;157884;7743;4698;8344;3952;3630;13716
1123;1048166;74121;14285;5889;8319;7200;4328;13107
1124;46932;9243;704;1817;1131;1909;485;3955
1125;1863114;219147;9507;50120;58009;23828;16588;13977
1126;771002;38015;4335;16500;26087;10853;5020;19079
1127;728094;27821;5121;6856;2190;9457;2569;15486
1128;27816;5978;1088;690;1942;494;828;3838
1129;1185394;242749;35381;35910;20595;25504;8709;63427
1130;456693;64079;46633;20270;18104;26574;17164;60674
1131;449666;157849;65277;23121;24504;11630;11095;77932
1132;909892;48363;4952;2878;1713;11076;6171;21076
1133;672141;50337;15313;1946;3511;7154;3102;15678
1134;672141;50337;15313;1946;3511;7154;3102;15678
1135;822183;28211;15160;4945;13747;4519;2900;20566
1136;38308;65422;9536;1783;1550;6008;1994;18577
1137;321880;66851;13801;5157;2383;5109;2275;15360
1138;1032113;73636;28497;11326;18316;21657;5640;67029
1139;2102226;218477;82008;16424;19553;13513;11531;70222
1140;379398;21871;5157;6951;11596;5598;2561;18529
1141;379398;21871;5157;6951;11596;5598;2561;18529
1142;281756;39919;21123;30945;62444;41170;8780;75594
1143;75623;50621;65480;28522;15958;30684;12738;76840
1144;27224;9824;1337;3559;1101;2000;1519;4249
1145;413264;185099;23006;26406;29194;27517;15343;62330
1146;904237;42591;15171;13665;36055;34830;11242;80728
1147;3111644;317010;86781;31134;19883;32615;10352;54765
1148;1104838;201587;11957;66775;22090;20745;14511;52056
1149;703458;54082;3592;12088;3887;6265;1694;17511
1150;2480095;68076;85469;17951;13655;28984;17863;86571
1151;1005339;64783;19248;3758;9860;3273;4215;19824
1152;329554;12899;2662;3184;2052;3245;719;5018
1153;564797;347621;30576;27543;35328;73674;13187;81836
1154;12118;2836;942;825;687;2435;312;4271
1155;1358544;108812;25520;10511;12777;14233;5501;27857
1156;525039;18520;12820;13668;5994;10297;4129;27743
1157;130005;40249;10638;6133;3080;3749;7361;24161
1158;1139012;114591;9991;1829;19454;5743;2536;17832
1159;2017819;71885;76125;26782;24617;48660;17726;36521
1160;471284;172857;53189;31381;57633;31524;8828;112267
1161;679020;36150;6197;16816;14097;3989;2080;11021
1162;557601;79981;31638;14803;18443;37862;4489;28869
1163;1150631;153449;44413;40235;16167;21271;19832;52892
1164;443257;111574;74552;91575;66693;31658;15080;46776
1165;2191586;168252;82617;24300;30764;19100;10327;59391
1166;1188489;172119;9463;45713;57009;17966;27813;50654
1167;1063725;50780;32321;42199;31487;22986;12678;31850
1168;1063725;50780;32321;42199;31487;22986;12678;31850
1169;324897;22391;17468;25870;22026;23118;17710;39590
1170;780638;266291;11912;6256;13229;21644;8393;54492
1171;283687;40761;14997;10339;3283;3438;2464;9851
1172;101038;243842;67422;13480;12201;11088;12492;33182
1173;769469;24564;22530;6282;3480;5030;1418;10348
1174;476514;194551;22611;49243;23294;38189;9126;53200
1175;433408;101526;36488;17366;24917;16075;8608;31985
1176;308363;42668;27395;29306;67446;25154;19038;49177
1177;329826;80322;13484;5221;14039;6364;4146;14343
1178;843939;54040;38431;19034;26249;17060;14494;61246
1179;952600;68823;26217;27334;47742;44794;13263;46434
1180;441962;102839;12651;66412;23639;20713;6970;45475
1181;441962;102839;12651;66412;23639;20713;6970;45475
1182;1701298;227440;28914;11559;21562;12121;6623;45360
1183;669870;74330;6714;18159;26997;30370;8760;40620
1184;1706037;199753;62297;25256;22814;23329;23878;63657
1185;1396374;91911;16524;29673;26183;28531;5478;37347
1186;285655;81101;5722;13132;8377;5875;1983;12452
1187;73467;7617;2513;1546;1927;1472;787;2978
1188;73467;7617;2513;1546;1927;1472;787;2978
1189;1525103;109607;152426;22189;18906;26369;31681;30111
1190;2244856;361824;83734;134396;37800;33038;12111;22506
1191;625102;139392;42065;4297;5698;9047;10698;5953
1192;114142;12739;9680;19481;7509;6662;5067;24486
1193;972536;34443;57001;80876;19221;13797;7942;51495
1194;949423;44123;8333;20754;8847;6676;2839;11447
1195;135922;4033;3225;2741;4269;2578;873;5462
1196;988014;155413;9446;38259;24849;24735;10528;59713
1197;389292;52047;35137;68457;39972;13074;9235;47163
1198;1151861;426982;83518;24677;34423;18820;21495;69482
1199;1700570;108533;40133;3237;29729;33667;15777;57644
