;Delta;Theta;Low Alpha;High Alpha;Low Beta;High Beta;Low Gamma;Middle Gamma
210;1195410;633131;82951;29518;35141;27760;14076;42690
211;1431742;371239;131941;28187;46607;58339;9996;175306
212;1060457;459095;143843;11631;97775;106795;38153;48707
213;642454;177748;70370;62960;21784;21356;25859;51728
214;642454;177748;70370;62960;21784;21356;25859;51728
215;1109230;850608;720302;193605;263169;67588;29899;267781
216;65788;33226;11433;5782;2267;2820;420;7719
217;1350501;65977;5652;5188;10929;6112;4005;44581
218;395562;89780;14839;7489;4829;8995;9382;30694
219;1232351;201288;46926;6078;31047;12418;7380;31341
220;648494;63135;8941;3135;6135;3873;3765;6348
221;648494;63135;8941;3135;6135;3873;3765;6348
222;207697;30738;6713;3639;1492;1374;1149;7288
223;1843924;80320;67648;22506;30118;41634;10174;47042
224;1084678;451922;152740;86786;47404;35023;18711;200122
225;1686303;1543956;305198;31560;11874;95561;32930;134230
226;775194;65606;10630;7944;1854;3326;3784;35859
227;1916509;759644;82769;85697;57617;70018;26908;51318
228;903843;48265;24351;31087;15807;21179;10533;10367
229;130827;35780;2497;3146;1320;2277;771;2564
230;560685;755449;84536;198826;44176;78719;92827;59072
231;1211987;165220;47245;55645;23359;21860;7369;19698
232;1097260;44511;24197;4397;3346;2982;1736;2035
233;156392;17513;5672;3361;4061;1550;1122;2082
234;1371201;1458647;64817;133975;93055;173340;31397;18099
235;1897659;189784;10947;18978;16032;9027;3337;54460
236;1834224;158982;22859;8799;33069;31157;15492;39848
237;643221;78686;2803;12159;10382;9769;9110;25793
238;675959;79552;9760;1608;4894;7030;3393;10166
239;951660;69737;19771;25319;9186;9633;9528;22072
240;387447;167413;9308;10825;10895;14940;8613;36264
241;387447;167413;9308;10825;10895;14940;8613;36264
242;161979;9868;6511;6436;4860;4773;1699;4713
243;962395;107797;29948;47307;22158;14384;8305;15935
244;1322426;86014;32651;34469;20179;5566;5309;33348
245;558404;133897;35568;13943;6258;12029;6199;23854
246;541825;84785;32643;11532;12153;11445;5481;49827
247;2216461;122584;23740;24425;11647;11110;5640;32709
248;2216461;122584;23740;24425;11647;11110;5640;32709
249;97509;88211;14254;1073;2573;3320;693;2980
250;977800;69940;64360;22235;25126;15310;9612;36812
251;1679446;84708;15858;24259;19603;10157;6672;19167
252;2009136;385663;101303;26806;21346;13072;6657;11085
253;2261837;527782;161765;41036;237236;75116;18124;27277
254;400620;196112;18766;4408;12103;14630;5536;18109
255;1579548;101075;30992;7530;8385;8178;4166;16168
256;1914744;49258;7519;3753;8154;8834;13906;14126
257;272745;2687;7578;3983;2564;1403;1975;3724
258;30279;27471;5443;2802;1653;2716;1262;3740
